time_s,ax,ay,az,gx,gy,gz,current,voltage,power
300.125,-380.0,-1152.0,22588.0,-420.0,73.0,-143.0,0.08,11.05,0.89
300.233,748.0,-1688.0,21004.0,-335.0,240.0,130.0,0.088,11.03,0.97
300.341,-532.0,696.0,23876.0,-588.0,28.0,-843.0,0.158,11.16,1.77
300.449,1484.0,-596.0,21188.0,-470.0,506.0,-54.0,0.199,11.22,2.23
300.557,-204.0,-312.0,22500.0,-526.0,240.0,-442.0,0.155,11.16,1.73
300.666,1792.0,-1320.0,20736.0,-399.0,343.0,-137.0,0.076,11.02,0.84
300.773,220.0,-1932.0,22508.0,-63.0,79.0,-96.0,0.104,11.05,1.15
300.882,488.0,-1736.0,22952.0,-26.0,382.0,-45.0,0.159,11.18,1.79
300.989,716.0,-1124.0,22016.0,40.0,-47.0,18.0,0.182,11.21,2.03
301.098,2128.0,-1180.0,21152.0,-299.0,234.0,-90.0,0.124,11.12,1.38
301.205,4044.0,2284.0,16920.0,-616.0,201.0,495.0,0.081,11.01,0.84
301.314,856.0,-860.0,22592.0,-321.0,384.0,-109.0,0.117,11.07,1.3
301.422,1820.0,-132.0,20816.0,-387.0,482.0,-150.0,0.179,11.2,2.01
301.53,160.0,-1088.0,21784.0,-153.0,-142.0,-246.0,0.174,11.2,1.94
301.638,2196.0,-592.0,20984.0,-264.0,547.0,-207.0,0.111,11.12,1.23
301.746,1712.0,-1724.0,21108.0,-162.0,567.0,-311.0,0.076,11.02,0.84
301.854,2788.0,48.0,20116.0,-398.0,807.0,-202.0,0.117,11.08,1.3
301.962,476.0,-916.0,21832.0,-211.0,233.0,-206.0,0.187,11.21,2.1
302.07,3040.0,920.0,20300.0,-132.0,864.0,-301.0,0.185,11.21,2.07
302.179,3872.0,-1236.0,19096.0,-395.0,1020.0,-211.0,0.104,11.08,1.15
302.286,1960.0,-272.0,20460.0,-277.0,467.0,-19.0,0.078,11.02,0.86
302.394,1120.0,-604.0,20640.0,-117.0,328.0,-74.0,0.115,11.12,1.28
302.502,1032.0,-412.0,20872.0,-76.0,550.0,-93.0,0.191,11.23,2.14
302.61,1308.0,244.0,20948.0,66.0,566.0,-323.0,0.172,11.18,1.92
302.719,1744.0,-924.0,21104.0,-143.0,557.0,-249.0,0.083,11.03,0.91
302.827,1416.0,-340.0,20816.0,-398.0,149.0,62.0,0.093,11.03,1.03
302.937,1392.0,-52.0,20640.0,-638.0,59.0,-55.0,0.149,11.14,1.67
303.042,-800.0,-464.0,22496.0,-304.0,-459.0,-262.0,0.189,11.22,2.11
303.151,2848.0,-268.0,19356.0,-247.0,-48.0,244.0,0.122,11.13,1.36
303.259,668.0,-1300.0,21272.0,-3.0,206.0,-124.0,0.075,11.02,0.83
303.367,2280.0,2684.0,20080.0,-372.0,-365.0,588.0,0.125,11.09,1.39
303.474,4576.0,-2260.0,18272.0,-382.0,1643.0,-546.0,0.192,11.22,2.15
303.583,-80.0,-844.0,22864.0,-355.0,124.0,-260.0,0.18,11.17,2.01
303.69,228.0,-1696.0,20956.0,-356.0,135.0,22.0,0.087,11.05,0.96
303.799,2428.0,-128.0,20204.0,-315.0,643.0,-154.0,0.085,11.03,0.94
303.907,812.0,1816.0,21520.0,-745.0,-359.0,-384.0,0.167,11.17,1.51
304.015,-2316.0,-1256.0,24600.0,-345.0,8.0,-511.0,0.187,11.22,2.09
304.123,252.0,-1788.0,22376.0,-288.0,13.0,-384.0,0.131,11.14,1.45
304.231,2164.0,460.0,19220.0,-347.0,209.0,177.0,0.081,11.0,0.89
304.339,3324.0,-2172.0,20152.0,10.0,650.0,-51.0,0.122,11.08,1.36
304.448,4080.0,-176.0,18820.0,-401.0,947.0,112.0,0.19,11.22,2.13
304.556,-1236.0,-1220.0,22436.0,-256.0,-363.0,-179.0,0.156,11.17,1.73
304.664,476.0,196.0,22816.0,-531.0,329.0,-361.0,0.08,11.04,0.88
304.772,1752.0,-28.0,21416.0,-262.0,494.0,-142.0,0.094,11.04,1.04
304.88,3372.0,-1812.0,19244.0,-126.0,684.0,102.0,0.177,11.2,1.99
304.988,2456.0,-944.0,20268.0,-150.0,253.0,253.0,0.19,11.21,2.12
305.097,-920.0,-1084.0,22756.0,-313.0,-167.0,-138.0,0.097,11.08,1.3
305.204,376.0,1828.0,22160.0,-744.0,-115.0,95.0,0.086,11.01,0.94
305.312,36.0,-1516.0,22356.0,-257.0,22.0,-258.0,0.127,11.11,1.42
305.42,600.0,440.0,21440.0,-684.0,-284.0,110.0,0.19,11.23,2.13
305.527,1892.0,-836.0,20896.0,-521.0,348.0,98.0,0.151,11.17,1.68
305.636,-1876.0,-888.0,25900.0,-515.0,-168.0,-282.0,0.082,11.04,0.91
305.745,-1828.0,-960.0,23844.0,-922.0,425.0,-1148.0,0.108,11.04,1.19
305.852,1488.0,-320.0,20692.0,-387.0,203.0,195.0,0.173,11.18,1.94
305.961,-836.0,-220.0,22048.0,-483.0,-224.0,-111.0,0.189,11.22,2.12
306.069,-856.0,172.0,22804.0,-600.0,-92.0,-228.0,0.107,11.11,1.18
306.177,4212.0,1408.0,19120.0,-542.0,685.0,214.0,0.077,11.02,0.85
306.284,-464.0,-724.0,23068.0,-421.0,-72.0,44.0,0.123,11.14,1.37
