time_s,ax,ay,az,gx,gy,gz,current,voltage,power
0.0,6860.0,1960.0,16176.0,-534.0,776.0,837.0,0.106,11.77,1.25
0.003,428.0,1680.0,23580.0,-460.0,54.0,-190.0,0.193,12.0,2.31
0.135,-1440.0,512.0,22184.0,74.0,-387.0,-224.0,0.171,11.95,2.04
0.172,-1304.0,-736.0,24048.0,-390.0,-15.0,-137.0,0.086,11.77,1.02
0.205,-1208.0,-2788.0,26264.0,-853.0,724.0,-744.0,0.122,11.84,1.45
0.232,4284.0,1336.0,18664.0,-578.0,826.0,164.0,0.201,12.0,2.41
0.234,-896.0,1428.0,22908.0,-501.0,-129.0,38.0,0.145,11.9,1.72
0.251,3164.0,-2636.0,18080.0,110.0,1022.0,-82.0,0.082,11.76,0.96
0.258,-1604.0,-312.0,23024.0,-510.0,-638.0,538.0,0.13,11.86,1.55
0.262,56.0,444.0,22736.0,-560.0,134.0,-138.0,0.198,11.99,2.37
0.264,1916.0,1588.0,20972.0,-401.0,184.0,-337.0,0.114,11.88,1.35
0.27,2860.0,-488.0,22176.0,22.0,1206.0,-202.0,0.108,11.76,1.08
0.276,540.0,-660.0,22272.0,-246.0,203.0,-292.0,0.184,11.96,2.21
0.281,1148.0,1416.0,19560.0,-455.0,-745.0,781.0,0.181,11.93,2.16
0.287,-128.0,-632.0,21952.0,-245.0,-96.0,13.0,0.083,11.76,0.97
0.29,-1044.0,-1044.0,23980.0,-116.0,850.0,-379.0,0.118,11.82,1.4
0.294,-3580.0,-2704.0,24376.0,348.0,-1311.0,-144.0,0.2,11.99,2.4
0.299,1716.0,-1592.0,21596.0,-410.0,252.0,209.0,0.155,11.92,1.84
0.304,4524.0,1832.0,15692.0,-615.0,290.0,488.0,0.083,11.75,0.98
0.309,-2652.0,-444.0,23816.0,-140.0,-490.0,-1079.0,0.133,11.87,1.47
0.311,3420.0,276.0,19120.0,-300.0,571.0,187.0,0.199,12.0,2.38
0.316,124.0,-1628.0,23156.0,-488.0,247.0,-254.0,0.152,11.9,1.8
0.39,-340.0,892.0,22604.0,-1009.0,-318.0,267.0,0.087,11.76,1.02
0.498,6828.0,3900.0,16144.0,-588.0,-290.0,472.0,0.148,11.91,1.77
0.606,-908.0,0.0,25180.0,-320.0,473.0,-682.0,0.202,11.99,2.42
0.714,552.0,-1776.0,21012.0,-240.0,81.0,155.0,0.103,11.84,1.21
0.823,-4992.0,-4040.0,27276.0,-634.0,-541.0,-357.0,0.091,11.77,1.07
0.93,-92.0,1136.0,19700.0,-856.0,161.0,330.0,0.174,11.95,1.79
1.038,-1112.0,-1776.0,23580.0,216.0,382.0,-445.0,0.19,11.97,2.27
1.146,-152.0,-1808.0,21748.0,-28.0,-174.0,-183.0,0.107,11.84,1.27
1.254,2508.0,-948.0,21348.0,-300.0,548.0,96.0,0.1,11.78,1.18
1.363,3512.0,224.0,18820.0,-138.0,571.0,-53.0,0.181,11.95,2.17
1.47,-5780.0,-2652.0,27280.0,-70.0,-1037.0,-703.0,0.192,11.95,2.29
1.578,108.0,-3764.0,21352.0,342.0,-220.0,-188.0,0.088,11.79,1.03
1.686,2292.0,-1292.0,21132.0,-383.0,712.0,-67.0,0.105,11.8,1.24
1.795,2620.0,-628.0,21836.0,-528.0,424.0,-239.0,0.189,11.98,2.26
1.902,-2248.0,28.0,23708.0,-389.0,-471.0,102.0,0.163,11.93,1.94
2.011,-2552.0,-1652.0,25876.0,-221.0,-565.0,-306.0,0.081,11.79,0.95
2.119,1452.0,-1968.0,19636.0,-217.0,-346.0,489.0,0.121,11.83,1.44
2.227,-616.0,948.0,20952.0,-608.0,-413.0,-210.0,0.202,11.98,2.42
2.334,-3980.0,728.0,25204.0,-163.0,-568.0,-725.0,0.172,11.93,2.05
2.443,3104.0,884.0,19824.0,-209.0,578.0,-380.0,0.081,11.76,0.95
2.551,6676.0,-1216.0,16844.0,-804.0,1715.0,177.0,0.116,11.82,1.37
2.658,1864.0,1472.0,19160.0,-572.0,53.0,-243.0,0.202,11.99,2.33
