time_s,ax,ay,az,gx,gy,gz,current,voltage,power
0.004,-276.0,1664.0,20396.0,-707.0,296.0,-294.0,0.145,6.85,1.0
0.009,-176.0,-1124.0,21240.0,-229.0,295.0,-147.0,0.145,6.86,1.0
0.015,336.0,-1208.0,24816.0,-385.0,35.0,-72.0,0.184,7.03,1.16
0.018,2372.0,-1552.0,20324.0,-253.0,971.0,161.0,0.194,7.12,1.38
0.02,3564.0,808.0,20488.0,-506.0,933.0,-83.0,0.192,7.1,1.35
0.024,364.0,-2004.0,20788.0,-127.0,1001.0,-170.0,0.163,6.98,1.13
0.027,2300.0,1704.0,21528.0,-233.0,904.0,-272.0,0.145,6.85,0.99
0.03,2332.0,-380.0,22248.0,-621.0,595.0,-28.0,0.141,6.89,0.97
0.033,2008.0,-1544.0,20080.0,-32.0,421.0,-18.0,0.158,6.98,1.11
0.035,-1660.0,-308.0,19656.0,-216.0,-678.0,-488.0,0.192,7.09,1.37
0.039,1292.0,1116.0,20892.0,-310.0,1150.0,301.0,0.189,7.11,1.34
0.042,2120.0,-896.0,18972.0,-591.0,-88.0,-185.0,0.166,6.99,1.15
0.051,1744.0,-1488.0,20156.0,-260.0,184.0,72.0,0.143,6.89,0.97
0.054,-3284.0,-1320.0,21124.0,-398.0,-1231.0,-236.0,0.15,6.86,1.04
0.057,-740.0,-2040.0,21852.0,-939.0,-321.0,-51.0,0.176,7.01,1.24
0.06,-856.0,224.0,22376.0,-382.0,118.0,-160.0,0.196,7.07,1.39
0.064,6816.0,2180.0,19476.0,-835.0,2065.0,79.0,0.181,7.06,1.3
0.066,920.0,-1600.0,20660.0,-305.0,178.0,-185.0,0.151,6.89,1.04
0.16,2044.0,556.0,20632.0,-491.0,509.0,18.0,0.139,6.86,0.95
0.268,-496.0,-900.0,20736.0,-356.0,109.0,-160.0,0.147,6.92,1.02
0.377,3652.0,-2400.0,16644.0,7.0,-204.0,-29.0,0.187,7.05,1.33
0.48,1860.0,-32.0,22052.0,-775.0,1060.0,281.0,0.194,7.09,1.37
0.589,464.0,-236.0,19616.0,-384.0,185.0,-12.0,0.175,7.03,1.23
0.698,452.0,1060.0,27400.0,-837.0,1202.0,186.0,0.146,6.86,1.02
0.808,1684.0,-952.0,21668.0,-511.0,220.0,145.0,0.144,6.82,0.99
0.917,780.0,-496.0,19724.0,-331.0,411.0,-299.0,0.163,6.94,1.14
1.025,-228.0,-820.0,22228.0,-449.0,213.0,74.0,0.187,7.08,1.32
