time_s,ax,ay,az,gx,gy,gz,current,voltage,power
0.007,2448.0,284.0,19724.0,-323.0,524.0,101.0,0.176,11.1,1.96
0.025,-376.0,-1292.0,22244.0,-370.0,117.0,-81.0,0.108,11.01,1.19
0.032,-2600.0,-5236.0,23660.0,150.0,-99.0,-531.0,0.081,10.9,0.89
0.038,-696.0,-928.0,22040.0,-352.0,132.0,-113.0,0.126,11.0,1.39
0.042,2476.0,-868.0,20584.0,-271.0,563.0,57.0,0.196,11.14,2.19
0.043,436.0,-448.0,21656.0,-267.0,245.0,6.0,0.159,11.07,1.94
0.045,-192.0,-1280.0,22140.0,-334.0,136.0,-49.0,0.086,10.94,0.94
0.047,484.0,-1020.0,22596.0,-427.0,254.0,-261.0,0.09,10.92,0.99
0.048,-200.0,-1316.0,21800.0,-348.0,258.0,67.0,0.154,11.05,1.7
0.05,-2384.0,-1124.0,24272.0,-373.0,-446.0,-368.0,0.202,11.13,2.24
0.051,-372.0,-908.0,21712.0,-148.0,-636.0,-282.0,0.166,11.08,1.83
0.054,-72.0,-840.0,21820.0,-283.0,-121.0,-9.0,0.082,10.92,0.89
0.058,3108.0,900.0,19580.0,-491.0,157.0,-82.0,0.097,10.93,1.07
0.06,792.0,304.0,21676.0,-385.0,89.0,-135.0,0.155,11.06,1.72
0.061,1364.0,836.0,21072.0,-383.0,112.0,-74.0,0.194,11.12,2.15
0.063,1200.0,-1132.0,21468.0,-262.0,380.0,-75.0,0.14,11.03,1.54
0.064,1540.0,236.0,20856.0,-313.0,35.0,79.0,0.079,10.91,0.85
0.067,1476.0,28.0,20720.0,-441.0,238.0,-210.0,0.113,10.97,1.25
0.068,-1060.0,-2464.0,23476.0,-238.0,560.0,88.0,0.19,11.11,2.12
0.144,2252.0,-340.0,20424.0,-291.0,324.0,201.0,0.175,11.08,1.93
0.252,740.0,-1268.0,21476.0,-394.0,353.0,77.0,0.104,10.98,1.14
0.36,2000.0,-992.0,20236.0,-294.0,466.0,86.0,0.08,10.91,0.87
0.468,-2888.0,-2656.0,25044.0,-223.0,592.0,-16.0,0.134,10.99,1.48
0.576,1584.0,-1852.0,21092.0,-243.0,619.0,-69.0,0.202,11.12,2.25
0.684,1620.0,596.0,20592.0,-302.0,-260.0,-212.0,0.179,11.1,1.98
0.792,116.0,-980.0,22520.0,-259.0,44.0,-164.0,0.094,10.96,1.03
0.9,2552.0,576.0,20080.0,-313.0,-118.0,-55.0,0.088,10.9,0.96
1.008,704.0,-396.0,21620.0,-315.0,95.0,-23.0,0.155,11.04,1.46
1.116,692.0,532.0,21388.0,-324.0,-245.0,-438.0,0.202,11.13,2.25
1.225,1756.0,-1328.0,19828.0,-212.0,167.0,345.0,0.162,11.06,1.79
