time_s,ax,ay,az,gx,gy,gz,current,voltage,power
0.003,1108.0,12.0,21604.0,-433.0,143.0,-22.0,0.125,11.57,1.44
0.006,1176.0,-460.0,20532.0,-347.0,14.0,59.0,0.101,11.42,1.16
0.015,860.0,124.0,21588.0,-324.0,73.0,-59.0,0.152,11.59,1.77
0.018,-652.0,3508.0,21236.0,-1149.0,-662.0,-402.0,0.204,11.65,2.37
0.019,1436.0,-644.0,21380.0,-263.0,588.0,-250.0,0.104,11.53,1.2
0.021,-1060.0,-1252.0,23832.0,-462.0,138.0,-349.0,0.093,11.44,1.06
0.022,696.0,-396.0,21440.0,-267.0,247.0,-170.0,0.176,11.63,2.05
0.023,820.0,-1248.0,21192.0,-329.0,222.0,-176.0,0.192,11.65,2.24
0.025,1660.0,-1412.0,20648.0,-306.0,304.0,-80.0,0.109,11.51,1.25
0.026,1956.0,-216.0,20912.0,-420.0,420.0,-248.0,0.107,11.46,1.22
0.028,1784.0,-216.0,20364.0,-432.0,190.0,74.0,0.181,11.62,2.11
0.031,1504.0,-732.0,21280.0,-305.0,455.0,19.0,0.178,11.63,2.22
0.036,320.0,-288.0,21140.0,-292.0,139.0,-83.0,0.091,11.48,1.04
0.038,1984.0,-404.0,20224.0,-363.0,506.0,-39.0,0.107,11.45,1.23
0.039,460.0,-1132.0,21952.0,-255.0,-2.0,-40.0,0.198,11.66,2.31
0.04,1460.0,-128.0,20700.0,-392.0,152.0,-196.0,0.176,11.63,2.04
0.042,1384.0,-1168.0,21368.0,-217.0,316.0,-237.0,0.091,11.44,1.05
0.043,764.0,-212.0,21084.0,-378.0,174.0,-24.0,0.115,11.46,1.32
0.044,1580.0,-8.0,20628.0,-449.0,331.0,45.0,0.187,11.64,2.18
0.108,1108.0,-628.0,21452.0,-287.0,270.0,63.0,0.177,11.62,2.05
0.216,264.0,-1376.0,22332.0,-345.0,355.0,44.0,0.091,11.46,1.04
0.325,1640.0,-380.0,21692.0,-407.0,326.0,-114.0,0.103,11.45,1.18
0.432,-224.0,220.0,23164.0,-475.0,-98.0,-213.0,0.192,11.64,2.24
0.539,2148.0,-104.0,20248.0,-356.0,294.0,8.0,0.19,11.63,2.21
0.648,992.0,-332.0,21964.0,-324.0,227.0,-109.0,0.09,11.46,1.18
0.757,1356.0,224.0,21412.0,-461.0,416.0,-287.0,0.1,11.45,1.15
0.864,68.0,-2372.0,22884.0,-278.0,68.0,-93.0,0.172,11.62,2.01
0.973,1104.0,-532.0,21656.0,-434.0,197.0,-14.0,0.184,11.64,2.14
1.081,104.0,-596.0,22320.0,-433.0,65.0,-118.0,0.102,11.5,1.17
1.189,2952.0,120.0,20284.0,-444.0,573.0,-73.0,0.091,11.44,1.05
1.297,472.0,400.0,22028.0,-533.0,199.0,-233.0,0.176,11.61,2.05
1.406,2776.0,-528.0,20152.0,-176.0,290.0,267.0,0.198,11.64,2.3
1.513,3352.0,340.0,19940.0,-355.0,605.0,68.0,0.096,11.48,1.1
1.62,2816.0,428.0,20444.0,-279.0,355.0,224.0,0.102,11.45,1.17
1.729,708.0,-1408.0,22412.0,-283.0,422.0,-49.0,0.182,11.61,2.12
1.837,1356.0,-872.0,21700.0,-213.0,278.0,-75.0,0.183,11.62,2.12
1.945,1696.0,-856.0,20684.0,-263.0,370.0,123.0,0.094,11.47,1.07
2.053,1284.0,-908.0,21028.0,-361.0,184.0,-50.0,0.113,11.47,1.19
