time_s,ax,ay,az,gx,gy,gz,current,voltage,power
300.029,1252.0,-364.0,21316.0,-359.0,377.0,-120.0,0.191,6.81,1.3
300.137,-228.0,-260.0,23252.0,-356.0,392.0,-143.0,0.18,6.74,1.21
300.245,-48.0,976.0,20884.0,-737.0,497.0,-37.0,0.15,6.64,0.99
300.353,204.0,-708.0,20852.0,-306.0,337.0,-145.0,0.131,6.58,0.87
300.461,2664.0,4.0,18928.0,-255.0,592.0,-167.0,0.145,6.66,0.97
300.569,2188.0,448.0,17432.0,-435.0,546.0,-234.0,0.179,6.78,1.22
300.677,2088.0,456.0,20652.0,-436.0,535.0,-273.0,0.193,6.81,1.31
300.785,480.0,1304.0,22608.0,-733.0,528.0,-77.0,0.16,6.72,1.06
300.894,-968.0,-220.0,22852.0,-435.0,-54.0,-211.0,0.136,6.58,0.89
301.002,1788.0,188.0,21304.0,-443.0,961.0,-299.0,0.139,6.59,0.92
301.11,1920.0,-308.0,20612.0,-247.0,302.0,-300.0,0.181,6.74,1.22
301.218,540.0,-252.0,21096.0,-495.0,271.0,-199.0,0.187,6.8,1.27
301.326,1692.0,-952.0,21652.0,-396.0,500.0,-84.0,0.183,6.75,1.24
301.434,3604.0,-548.0,19360.0,-130.0,817.0,-12.0,0.154,6.63,1.02
301.542,-1708.0,-1480.0,20864.0,-53.0,-118.0,-265.0,0.132,6.58,0.87
301.65,-384.0,-804.0,21388.0,-146.0,-33.0,-181.0,0.139,6.64,0.92
301.758,-524.0,-356.0,21972.0,-419.0,322.0,-39.0,0.18,6.74,1.22
301.866,-836.0,-796.0,21380.0,-144.0,-251.0,-157.0,0.19,6.78,1.29
301.974,2044.0,-632.0,20708.0,-248.0,209.0,-123.0,0.164,6.72,1.09
302.082,3392.0,-504.0,20592.0,-73.0,1084.0,-59.0,0.135,6.61,0.89
302.19,-2220.0,-3356.0,20856.0,118.0,-352.0,89.0,0.137,6.61,0.91
302.3,-1880.0,-2644.0,22788.0,-147.0,-37.0,187.0,0.17,6.7,1.15
