time_s,ax,ay,az,gx,gy,gz,current,voltage,power
300.084,764.0,-396.0,21008.0,-319.0,443.0,-5.0,0.204,6.51,1.33
300.193,624.0,-252.0,20440.0,-234.0,224.0,-96.0,0.167,6.4,1.06
300.3,7120.0,1392.0,21484.0,-687.0,2193.0,792.0,0.139,6.31,0.88
300.409,-588.0,-524.0,21748.0,-443.0,8.0,-34.0,0.163,6.37,1.04
300.516,340.0,140.0,20956.0,-581.0,177.0,-427.0,0.206,6.49,1.34
300.625,1820.0,-1872.0,20428.0,239.0,338.0,60.0,0.201,6.52,1.34
300.732,492.0,-996.0,21024.0,-411.0,556.0,79.0,0.16,6.38,1.01
300.842,1352.0,-660.0,21992.0,-387.0,203.0,-17.0,0.142,6.28,0.89
300.95,4052.0,1320.0,22244.0,-368.0,1506.0,27.0,0.159,6.41,1.02
301.057,148.0,-1320.0,22144.0,-256.0,172.0,-118.0,0.208,6.51,1.35
301.166,-1876.0,-972.0,21796.0,-274.0,-114.0,141.0,0.207,6.51,1.35
301.274,5380.0,380.0,17784.0,-350.0,949.0,102.0,0.167,6.4,1.06
301.381,524.0,-284.0,21656.0,-402.0,110.0,-80.0,0.137,6.32,0.87
301.49,1240.0,96.0,20224.0,-266.0,341.0,-262.0,0.163,6.35,1.05
301.597,232.0,-1100.0,21684.0,-362.0,150.0,37.0,0.202,6.5,1.31
301.705,944.0,-956.0,21100.0,-532.0,369.0,-185.0,0.203,6.52,1.32
301.813,652.0,-336.0,20332.0,-439.0,264.0,-154.0,0.162,6.36,1.03
301.921,-284.0,-252.0,20308.0,-278.0,221.0,13.0,0.141,6.29,0.88
302.031,624.0,-932.0,20292.0,-319.0,306.0,-7.0,0.155,6.38,0.99
302.138,2624.0,280.0,20384.0,-418.0,662.0,94.0,0.205,6.5,1.34
302.246,1356.0,-1188.0,20396.0,-310.0,306.0,-176.0,0.207,6.51,1.34
302.353,1904.0,-912.0,20224.0,-93.0,532.0,-90.0,0.16,6.38,1.02
