time_s,ax,ay,az,gx,gy,gz,current,voltage,power
0.01,3144.0,-644.0,20524.0,-448.0,527.0,25.0,0.183,11.64,2.13
0.017,204.0,-1628.0,22832.0,-375.0,542.0,-26.0,0.092,11.48,1.06
0.025,-468.0,320.0,21840.0,-516.0,-84.0,72.0,0.089,11.44,1.02
0.029,-576.0,-2020.0,22128.0,-435.0,-156.0,-151.0,0.133,11.52,1.54
0.03,1220.0,456.0,21620.0,-595.0,296.0,-95.0,0.192,11.66,2.24
0.031,176.0,-1084.0,22208.0,-350.0,-178.0,-148.0,0.156,11.57,1.81
0.033,3020.0,108.0,18932.0,-200.0,319.0,197.0,0.081,11.42,0.92
0.034,2944.0,1416.0,20316.0,-315.0,585.0,-145.0,0.122,11.49,1.41
0.035,1884.0,-1056.0,22296.0,-317.0,716.0,-78.0,0.199,11.64,2.32
0.037,1500.0,244.0,20212.0,-263.0,-189.0,209.0,0.169,11.6,1.96
0.038,1432.0,532.0,22016.0,-364.0,396.0,-103.0,0.088,11.46,1.01
0.043,2428.0,364.0,20464.0,-474.0,363.0,32.0,0.104,11.42,1.19
0.048,14248.0,4804.0,12696.0,-655.0,2053.0,1213.0,0.197,11.62,2.29
0.049,2016.0,540.0,19896.0,-242.0,-308.0,-324.0,0.195,11.63,2.27
0.05,-80.0,488.0,22320.0,-599.0,209.0,-264.0,0.106,11.5,1.22
0.052,-1412.0,4404.0,20148.0,-596.0,-1101.0,321.0,0.087,11.4,1.0
0.053,-1484.0,-672.0,24180.0,-368.0,-198.0,-166.0,0.127,11.49,1.46
0.055,-1040.0,700.0,22400.0,33.0,-574.0,184.0,0.206,11.65,2.4
0.056,328.0,-1744.0,21556.0,-217.0,-31.0,74.0,0.171,11.58,1.98
0.071,1076.0,-1268.0,21528.0,-420.0,442.0,-109.0,0.084,11.42,1.06
0.178,84.0,-1180.0,21048.0,-36.0,-124.0,7.0,0.102,11.44,1.17
0.287,2064.0,-1388.0,19788.0,-266.0,299.0,52.0,0.165,11.58,1.92
0.395,2668.0,1112.0,20212.0,-560.0,415.0,1.0,0.195,11.62,2.26
0.503,548.0,-136.0,22024.0,-565.0,240.0,-306.0,0.127,11.54,1.46
0.61,-96.0,-1932.0,22548.0,-407.0,277.0,-245.0,0.081,11.41,0.92
0.719,2052.0,608.0,20884.0,-432.0,200.0,-245.0,0.126,11.49,1.45
0.828,2056.0,-536.0,20732.0,-164.0,306.0,84.0,0.205,11.64,2.39
0.934,700.0,-820.0,21612.0,-310.0,0.0,68.0,0.166,11.58,1.92
1.043,1484.0,-568.0,21036.0,-230.0,220.0,3.0,0.085,11.43,0.98
1.151,3372.0,616.0,19372.0,-399.0,679.0,-68.0,0.1,11.43,1.15
1.26,4656.0,-1864.0,18036.0,-328.0,1220.0,238.0,0.186,11.62,2.17
1.367,2480.0,1172.0,21400.0,-578.0,480.0,-74.0,0.193,11.62,2.23
1.476,-300.0,-44.0,22136.0,-342.0,-206.0,-346.0,0.125,11.44,1.44
1.584,-1096.0,-400.0,23476.0,-353.0,-437.0,-117.0,0.089,11.4,1.01
1.691,2096.0,-252.0,19800.0,-256.0,143.0,274.0,0.132,11.49,1.53
1.798,912.0,448.0,21088.0,-486.0,112.0,36.0,0.205,11.64,2.39
1.907,684.0,1156.0,21484.0,-482.0,14.0,61.0,0.173,11.57,2.0
2.016,-1056.0,-148.0,22800.0,-334.0,-127.0,-220.0,0.093,11.44,1.06
2.124,4852.0,3372.0,16284.0,-791.0,901.0,333.0,0.102,11.43,1.17
2.232,-1032.0,-1332.0,23284.0,-233.0,258.0,-51.0,0.167,11.57,1.94
2.34,1972.0,136.0,24976.0,-243.0,655.0,122.0,0.201,11.62,2.41
2.448,-88.0,-1040.0,23040.0,-403.0,247.0,-452.0,0.138,11.53,1.59
2.556,3048.0,-272.0,19872.0,-357.0,542.0,4.0,0.082,11.4,0.93
2.663,1612.0,-196.0,20920.0,-424.0,468.0,189.0,0.122,11.47,1.41
2.772,1608.0,648.0,21416.0,-513.0,447.0,-132.0,0.197,11.63,2.29
2.88,180.0,-2196.0,21948.0,-137.0,47.0,-321.0,0.187,11.58,2.16
2.988,2212.0,-620.0,20436.0,-325.0,192.0,176.0,0.096,11.44,1.1
3.096,-148.0,-556.0,22448.0,-189.0,-55.0,-101.0,0.093,11.39,1.06
3.204,88.0,488.0,22760.0,-408.0,-57.0,-13.0,0.163,11.55,1.89
3.313,1060.0,-1040.0,20624.0,-415.0,350.0,-221.0,0.209,11.62,2.42
3.42,4760.0,5352.0,17596.0,-657.0,60.0,738.0,0.168,11.56,1.94
3.529,712.0,148.0,22524.0,-494.0,165.0,-157.0,0.082,11.41,0.93
3.636,1164.0,564.0,20992.0,-427.0,129.0,-32.0,0.105,11.42,1.2
3.744,400.0,-1196.0,21680.0,-259.0,46.0,72.0,0.185,11.6,1.88
3.853,-1344.0,-1900.0,23344.0,-185.0,-254.0,-128.0,0.199,11.62,2.31
